ABWD,ABW,Abbey Wood
ABER,ABE,Aber
ABRCYNS,ACY,Abercynon
ABDARE,ABA,Aberdare
ABRDEEN,ABD,Aberdeen
ABDO,AUR,Aberdour
ABDVY,AVY,Aberdovey
ABRE,ABH,Abererch
ABRGVNY,AGV,Abergavenny
ABGLELE,AGL,Abergele & Pensarn
ABRYSTH,AYW,Aberystwyth
ACRNGTN,ACR,Accrington
ACHANLT,AAT,Achanalt
ACHNSHN,ACN,Achnasheen
ACHHSHL,ACH,Achnashellach
ACKLNGT,ACK,Acklington
ACLE,ACL,Acle
ACOCKSG,ACG,Acocks Green
ACBG,ACB,Acton Bridge
ACTNCTL,ACC,Acton Central
ACTONML,AML,Acton Main Line
ADERLYP,ADD,Adderley Park
ADIEWEL,ADW,Addiewell
ADLESTN,ASN,Addlestone
ADISHAM,ADM,Adisham
ADLC,ADC,Adlington (Cheshire)
ADNL,ADL,Adlington (Lancashire)
ADWICK,AWK,Adwick
AIGBURT,AIG,Aigburth
AINSDAL,ANS,Ainsdale
AINTREE,AIN,Aintree
AIRBLES,AIR,Airbles
AIRDRIE,ADR,Airdrie
ALBNYPK,AYP,Albany Park
ALBRGHT,ALB,Albrighton
ALDEDGE,ALD,Alderley Edge
ALDMSTN,AMT,Aldermaston
ALDRSHT,AHT,Aldershot
ALDTON,AGT,Aldrington
ALEXNDP,AAP,Alexandra Palace
ALXPD,AXP,Alexandra Parade
ALXANDR,ALX,Alexandria
ALFRETN,ALF,Alfreton
ALLENSW,ALW,Allens West
ALLOA,ALO,Alloa
ALNESS,ASS,Alness
ALNMOTH,ALM,Alnmouth
ALRESFD,ALR,Alresford (Essex)
ALSAGER,ASG,Alsager
ALTHORN,ALN,Althorne
ALTPE,ALP,Althorpe
ALTNBRC,ABC,Altnabreac
ALTON,AON,Alton
ALTRNHM,ALT,Altrincham
ALVCHRC,ALV,Alvechurch
AMBERGT,AMB,Ambergate
AMLY,AMY,Amberley
AMERSHM,AMR,Amersham
AMMANFD,AMF,Ammanford
ANCASTR,ANC,Ancaster
ANDRSTN,AND,Anderston
ANDOVER,ADV,Andover
ANERLEY,ANZ,Anerley
ANGELRD,AGR,Angel Road
ANGMRNG,ANG,Angmering
ANNAN,ANN,Annan
ANSL,ANL,Anniesland
ANSDELL,AFV,Ansdell & Fairhaven
APBY,APP,Appleby
APDR,APD,Appledore (Kent)
APPLEFD,APF,Appleford
APLYBDG,APB,Appley Bridge
APSLEY,APS,Apsley
ARBROTH,ARB,Arbroath
ARDGAY,ARD,Ardgay
ARDLUI,AUI,Ardlui
ARDRSHB,ADS,Ardrossan Harbour
ARDRSSB,ASB,Ardrossan South Beach
ARDRSTN,ADN,Ardrossan Town
ARDWICK,ADK,Ardwick
ARGYLST,AGS,Argyle Street
ARISAIG,ARG,Arisaig
ARLSEY,ARL,Arlesey
ARMDALE,ARM,Armadale
ARMTHWT,AWT,Armathwaite
ARNSIDE,ARN,Arnside
ARRAM,ARR,Arram
ARCHRAT,ART,Arrochar & Tarbet
ARUNDEL,ARU,Arundel
ASCOT,ACT,Ascot
ASCTUWD,AUW,Ascott-under-Wychwood
ASHH,ASH,Ash
ASHVALE,AHV,Ash Vale
ASHBRYS,ABY,Ashburys
ASHCHRC,ASC,Ashchurch for Tewkesbury
ASFIELD,ASF,Ashfield
ASFDMSX,AFS,Ashford (Surrey)
ASHFKY,AFK,Ashford International
ASHLEY,ASY,Ashley
ASHD,AHD,Ashtead
ASHONUL,AHN,Ashton-under-Lyne
ASHURST,AHS,Ashurst
LYNDHRD,ANF,Ashurst New Forest
ASHWELC,AWM,Ashwell & Morden
ASKAM,ASK,Askam
ASLCKTN,ALK,Aslockton
ASPTRIA,ASP,Aspatria
ASPLEYG,APG,Aspley Guise
ASTON,AST,Aston
ATHRSTN,ATH,Atherstone
ATHERTN,ATN,Atherton
ATADALE,ATT,Attadale
ATNBRO,ATB,Attenborough
ATTLBON,ATL,Attleborough
ACHILCK,AUK,Auchinleck
AUDLEYE,AUD,Audley End
AGHTNPH,AUG,Aughton Park
AVIEMRE,AVM,Aviemore
AVNCLFF,AVF,Avoncliff
AVONMTH,AVN,Avonmouth
AXMNSTR,AXM,Axminster
AYLSBRY,AYS,Aylesbury
AYLSPWY,AVP,Aylesbury Vale Parkway
AYLESFD,AYL,Aylesford
ALSHAM,AYH,Aylesham
AYRR,AYR,Ayr
BACHE,BAC,Bache
BGLAN,BAJ,Baglan
BAGSHOT,BAG,Bagshot
BAILDON,BLD,Baildon
BALISTN,BIO,Baillieston
BALCOMB,BAB,Balcombe
BALDOCK,BDK,Baldock
BALHAM,BAL,Balham
BALLOCH,BHC,Balloch
BALMOSS,BSI,Balmossie
BMBRBDG,BMB,Bamber Bridge
BAMFORD,BAM,Bamford
BANAVIE,BNV,Banavie
BNBR,BAN,Banbury
BANGOR,BNG,Bangor (Gwynedd)
BNKHALL,BAH,Bank Hall
BANSTED,BAD,Banstead
BARASIE,BSS,Barassie
BRBCNLT,ZBB,Barbican
BRDNML,BLL,Bardon Mill
BARELA,BAR,Bare Lane
BRGDDIE,BGI,Bargeddie
BARGOED,BGD,Bargoed
BARKING,BKG,Barking
BARLSTN,BRT,Barlaston
BARMING,BMG,Barming
BRMOUTH,BRM,Barmouth
BRNHRST,BNH,Barnehurst
BARNES,BNS,Barnes
BNSBDGE,BNI,Barnes Bridge
BNTBY,BTB,Barnetby
BRHM,BAA,Barnham
BNHL,BNL,Barnhill
BNSLY,BNY,Barnsley
BRNSTPL,BNP,Barnstaple
BGRN,BTG,Barnt Green
BRHD,BRR,Barrhead
BRRHL,BRL,Barrhill
BARWHVN,BAV,Barrow Haven
BAROWOS,BWS,Barrow upon Soar
